originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
4,State Colleges,3,State Universities,EGC,East Georgia,SSU,Savannah,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,1,2,0,2,0,1,4,4,8,9,12
1,Research Universities,1,Research Universities,GRU,Georgia Regents,GSU,Georgia,535,591,544,522,566,504,573,509,533,509,457,447,0,2,2,0,2,2,2,1,0,0,0,0
3,State Universities,4,State Colleges,UNGA,University of North Georgia,MAC,Macon,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,2,2,5,4,1,3,1,3,0,3,1,0
4,State Colleges,2,Comprehensive Universities,AMC,Atlanta Metropolitan,UWG,University of West Georgia,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,10,12,10,10,11,9,11,10,11,14,11,13
3,State Universities,4,State Colleges,UNGA,University of North Georgia,AMC,Atlanta Metropolitan,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,1,0,0,0,0,0,0,0,0,2,1
4,State Colleges,4,State Colleges,GPC,Georgia Perimeter,DAR,Darton,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,5,3,7,13,8,17,22,21,34,29,28,29
3,State Universities,4,State Colleges,AAS,Armstrong Atlantic,AMC,Atlanta Metropolitan,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,1,0,1,0,1,0,1,2,0,5,4,1
4,State Colleges,2,Comprehensive Universities,CCG,College of Coastal Georgia,GSC,Georgia Southern,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,42,26,49,37,54,60,36,51,46,35,37,31
2,Comprehensive Universities,4,State Colleges,GSC,Georgia Southern,GHC,Georgia Highlands,796,829,788,778,919,992,1146,1132,1227,1166,1227,1065,11,7,12,10,14,16,23,14,24,19,13,14
1,Research Universities,3,State Universities,GSU,Georgia,CSC,Clayton,436,407,418,376,360,378,409,384,369,436,388,333,94,91,64,95,70,92,94,81,65,78,85,65
4,State Colleges,4,State Colleges,BAN,Bainbridge,GDN,Gordon,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,1,0,0,1,0,2,0,0,0,0
2,Comprehensive Universities,2,Comprehensive Universities,VSU,Valdosta,KEN,Kennesaw,340,409,380,422,399,428,428,429,531,485,477,496,29,52,44,58,70,67,71,64,99,99,84,90
4,State Colleges,3,State Universities,ABC,Abrah. Baldwin Agric.,CSU,Columbus,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,10,8,3,8,9,18,7,11,9,13,16,10
4,State Colleges,4,State Colleges,WAY,Waycross,GPC,Georgia Perimeter,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,0,1,0,2,2,0,1,2,1,1,0
3,State Universities,1,Research Universities,GCM,Georgia,UGA,University of Georgia,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,23,30,39,43,67,82,91,77,81,98,90,122
5,Out-of-System,2,Comprehensive Universities,OUT,Non-USG Institutions,KEN,Kennesaw,2960,2899,2968,2996,2751,2836,3178,3315,3438,3366,3238,3344,1697,1657,1678,1640,1475,1555,1770,1834,1801,1741,1706,1713
4,State Colleges,4,State Colleges,DAL,Dalton,MAC,Macon,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,2,1,0,0,1,2,1,0,0
1,Research Universities,4,State Colleges,UGA,University of Georgia,EGC,East Georgia,409,451,427,403,456,524,640,626,671,612,536,604,0,1,1,1,3,0,3,0,0,0,2,2
4,State Colleges,4,State Colleges,GGC,Georgia Gwinnett,GDN,Gordon,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,3,1
1,Research Universities,3,State Universities,GIT,Georgia Institute of Technology,AAS,Armstrong Atlantic,436,407,418,376,360,378,409,384,369,436,388,333,6,3,2,2,2,1,3,2,1,1,1,2
2,Comprehensive Universities,4,State Colleges,GSC,Georgia Southern,DAR,Darton,796,829,788,778,919,992,1146,1132,1227,1166,1227,1065,8,11,10,13,12,24,23,19,18,19,20,15
4,State Colleges,4,State Colleges,GHC,Georgia Highlands,DAR,Darton,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,6,6,4,2,4,5,3,3,8,5,5,6
1,Research Universities,2,Comprehensive Universities,GRU,Georgia Regents,GSC,Georgia Southern,457,438,425,401,353,377,397,398,369,403,352,335,0,0,0,1,0,0,0,0,0,0,1,0
4,State Colleges,3,State Universities,SGC,South Georgia,ALS,Albany,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,2,5,9,1,3,1,5,5,8,7,0,0
3,State Universities,4,State Colleges,GCM,Georgia,GGC,Georgia Gwinnett,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,1,0,5,14,17,16,20,17,11
3,State Universities,1,Research Universities,GCM,Georgia,GIT,Georgia Institute of Technology,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,5,4,7,3,2,10,18,13,31,20,15,12
4,State Colleges,3,State Universities,MID,Middle Georgia,CSC,Clayton,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,5,7,6,11,7,12,18,14,24,15,3,0
3,State Universities,3,State Universities,CSU,Columbus,GCM,Georgia,691,801,890,788,844,859,880,964,938,1023,728,557,4,2,6,6,1,4,1,4,1,6,5,1
3,State Universities,3,State Universities,GAN,Gainesville,NGC,North Georgia,691,801,890,788,844,859,880,964,938,1023,728,557,192,183,214,174,200,231,239,250,232,238,85,0
